Candidate,Chamber,District,Party,Incumbent,2016,2018,2020,2022,2024,CUPAC Total,SB 2266 FOM Vote,Direction
Don Aandal,House,17,D,,,,,,,,,
Mary K Adams,Senate,43,D,,,,,,,,,
Jesus Albry Aguirre,House,33,R,,,,,,,,,
Grant Allex,House,27,R,,,,,,,,,
Karen A Anderson,House,19,R,Incumbent,300,,,,,300,YEA,Pro-CU
Anastassiya (Stass) Andrianova,House,11,D,,,,,,,,,
Michelle Axtman,Senate,7,R,Incumbent,,,,,,,NAY,Anti-CU
Sandy Baertsch,House,39,D,,,,,,,,,
Kimball Banks,House,33,D,,,,,,,,,
Jeff Barta,Senate,43,R,Incumbent,,,,,,,YEA,Pro-CU
Todd Beard,Senate,23,R,Incumbent,,,,,,,YEA,Pro-CU
Gaylynn Becker,House,7,R,,,,,,,,,
Rick Becker,House,7,R,,,,,,,,,
Brad Bekkedahl,Senate,1,R,Incumbent,,400,,,,400,NAY,Anti-CU
Jennifer Benson,House,41,R,,,,,,,,,
Katie Benton,Senate,17,D,,,,,,,,,
Keith Boehm,Senate,33,R,Incumbent,,,,,,,YEA,Pro-CU
Roger Brabandt,House,5,R,,,,,,,,,
Collette Brown,House,9,D,Incumbent,,,,,,,,
Russell Bubach,House,13,R,,,,,,,,,
Mark Casler,House,23,D,,,,,,,,,
Jill T Chandler,House,43,R,,,,,,,,,
Sean Cleary,Senate,35,R,Incumbent,,,,700,,700,NAY,Anti-CU
Liz Conmy,House,11,D,Incumbent,,,,,,,YEA,Pro-CU
Jayme Davis,Senate,9,D,,,,,,,,YEA,Pro-CU
Kyle Davison,Senate,41,R,Incumbent,,400,,,,400,YEA,Pro-CU
Nyamal Dei,Senate,41,D,,,,,,,,,
Blaine Deslauriers,House,3,R,,,,,,,,,
Jason Dodge,House,39,R,,,,,,,,,
Laura Dronen,House,21,D,,,,,,,,,
Frances Drury,House,15,D,,,,,,,,,
Everett Duckworth,House,13,R,,,,,,,,,
Mike Dwyer,Senate,47,R,Incumbent,,400,,,,400,NAY,Anti-CU
Kyle Erickson,House,5,D,,,,,,,,,
Judy Estenson,Senate,15,R,,,,,,400,400,YEA,Pro-CU
Matt Evans,House,25,R,,,,,,,,,
Jay Fisher,Senate,5,R,,,250,,,,250,NAY,Anti-CU
Kathy Frelich,House,15,R,Incumbent,,,,,,,YEA,Pro-CU
Maggi Gadaire,House,13,D,,,,,,,,,
Laurie Garbel,House,1,R,,,,,,,,,
Brenda Jo Gillund,House,13,D,,,,,,,,,
Terry Goerger,House,25,R,,,,,,,,,
Mary Graner,Senate,31,R,,,,,,,,,
LaurieBeth Hager,House,21,D,Incumbent,,,,,,,YEA,Pro-CU
Craig Headland,House,29,R,Incumbent,,400,,300,,700,YEA,Pro-CU
Mike Heger,House,33,R,,,,,,,,,
Stacy Heidenreich,House,41,D,,,,,,,,,
Bob Heitkamp,Senate,25,D,,,,,,,,,
Donna Henderson,House,15,R,Incumbent,,,,,,,NAY,Anti-CU
Crystal Hendrickson,House,3,R,,,,,,,,,
Jefferey E Hermanson,Senate,19,D,,,,,,,,,
Jolene L Hermanson,House,19,D,,,,,,,,,
Tara Hiatt,House,3,D,,,,,,,,,
Dawson Holle,House,31,R,Incumbent,,,,,,500,YEA,Pro-CU
Mike Holmes,House,43,R,,,,,,,,,
Jerri Hopfauf,Senate,7,R,,,,,,,,,
Kevin Horneman,Senate,7,D,,,,,,,,,
Jeff Hoverson,House,3,R,Incumbent,,,,,,,NAY,Anti-CU
Rosann Jacobs-Fode,House,47,D,,,,,,,,,
Alex Johnson,House,1,D,,,,,,,,,
Corey Johnson,House,23,R,,,,,,,,,
Reed Johnson,House,17,R,,,,,,,,,
Taylor Johnson,House,35,D,,,,,,,,,
Jim Jonas,House,13,R,Incumbent,,,,,,,NAY,Anti-CU
Susan Josephson,House,37,D,,,,,,,,,
Karen Karls,House,35,R,Incumbent,,300,,,,300,NAY,Anti-CU
John Kelly,Senate,29,D,,,,,,,,,
Keith Kempenich,House,39,R,Incumbent,,,,,,,NAY,Anti-CU
Corry Kenner,House,15,R,,,,,,,,,
Kristin Kenner,Senate,15,R,,,,,,,,,
Greg Kessel,Senate,39,R,Incumbent,,,,,,,YEA,Pro-CU
Shawn Kessel,House,27,R,,,,,,,,,
Kylan Klauzer,House,37,R,,,,,,,,,
Stacie Kruckenberg,House,33,D,,,,,,,,,
Lynne M Lafer-Halvorson,House,35,D,,,,,,,,,
Landis Larson,Senate,13,D,,,,,,,,,
Jon Lee,House,47,R,,,,,,,,,
Judy Lee,Senate,13,R,Incumbent,,400,,,,400,NAY,Anti-CU
Shelley Lenz,House,37,D,,,,,,,,,
Don Lippert,House,45,D,,,,,,,,,
Ross Lockhart,House,45,D,,,,,,,,,
Scott Louser,House,5,R,Incumbent,,400,,400,,800,NAY,Anti-CU
Larry Luick,Senate,25,R,Incumbent,,400,,300,,700,NAY,Anti-CU
Richard Marcellais,Senate,9,D,Incumbent,,250,,250,,500,,
Bob Martinson,House,35,R,Incumbent,,300,,,,300,NAY,Anti-CU
Tim Mathern,Senate,11,D,Incumbent,,400,,,,400,YEA,Pro-CU
Lukas Arthur Maughan,House,43,D,,,,,,,,,
Natalie Mclaughlin,House,3,D,,,,,,,,,
Carrie McLeod,House,45,R,Incumbent,,,,,,,ABSENT,
Timothy Mihalick,House,3,R,,,,,,,,,
Dan Mitchell,Senate,45,D,,,,,,,,,
Alisa Mitskog,House,25,D,Incumbent,,300,,,,300,NAY,Anti-CU
Sharlet Mohr,House,23,R,,,,,,,,,
David Monson,House,19,R,Incumbent,300,,300,400,,1000,NAY,Anti-CU
Cole Montoya,House,47,D,,,,,,,,,
Michael Motschenbacher,House,47,R,Incumbent,,,,400,,400,NAY,Anti-CU
Eric J Murphy,House,43,R,Incumbent,,,,,,,NAY,Anti-CU
Janne Myrdal,Senate,19,R,Incumbent,300,,300,300,,900,NAY,Anti-CU
Dennis Nehring,House,23,R,Incumbent,,,,,,,,
Dianne Norris,House,29,D,,,,,,,,,
Anna S (Garrett) Novak,House,33,R,Incumbent,,,,,,,NAY,Anti-CU
Christine O'Riley,Senate,11,R,,,,,,,,,
Bill Patrie,Senate,47,D,,,,,,,,,
Bob Paulson,Senate,3,R,Incumbent,,,,,,,YEA,Pro-CU
Dale Pittman,Senate,35,D,,,,,,,,,
Duane Poitra,House,9,D,,,,,,,,,
Lynnell Popowski,House,19,D,,,,,,,,,
Zach Raknerud,House,5,D,,,,,,,,,
Kevin K Remington,House,31,R,,,,,,,,,
David Richter,House,1,R,Incumbent,,,,,,,NAY,Anti-CU
Kristin Roers,Senate,27,R,Incumbent,,,,300,,300,NAY,Anti-CU
Karen Rohr,House,31,R,Incumbent,,300,,400,,700,YEA,Pro-CU
Dean Rummel,Senate,37,R,Incumbent,,,,,,,NAY,Anti-CU
Philip Sallberg,Senate,13,R,,,,,,,,,
Mark Sanford,House,17,R,Incumbent,,300,,,,300,NAY,Anti-CU
Steve Sauter,House,7,R,,,,,,,,,
Donald Schaible,Senate,31,R,Incumbent,,400,,300,,700,NAY,Anti-CU
Mike Schatz,House,39,R,Incumbent,300,,300,,,600,NAY,Anti-CU
Austen Schauer,House,13,R,Incumbent,,250,,,,250,NAY,Anti-CU
Jim Schmidt,House,31,R,,,,,,,,,
Mary Schneider,Senate,21,D,,,300,,,,300,YEA,Pro-CU
Jonathan Sickler,Senate,17,R,Incumbent,,,,,,,NAY,Anti-CU
Kathy Skroch,House,25,R,Incumbent,,,,,,,,
Rich Slagle,House,41,R,,,,,,,,,
Signe Snortland,Senate,33,D,,,,,,,,,
Ronald Sorvaag,Senate,45,R,Incumbent,,400,,300,,700,NAY,Anti-CU
Kelly Spilman,Senate,31,D,,,,,,,,,
Tim Spilman,House,31,D,,,,,,,,,
Michael A Steele,House,23,D,,,,,,,,,
Vicky Steiner,House,37,R,Incumbent,,300,,,,300,YEA,Pro-CU
Greg Stemen,House,27,R,Incumbent,,,,300,,300,NAY,Anti-CU
Michael Thiesen,Senate,3,D,,,,,,,,,
Jason Thoms,House,7,D,,,,,,,,,
Steve Thoring,House,1,D,,,,,,,,,
Chris Tiongson,House,41,D,,,,,,,,,
Bill Tveit,House,33,R,Incumbent,,,,,,,NAY,Anti-CU
Greg Vetter,House,7,R,,,,,,,,,
Scott Wagner,House,45,R,Incumbent,,,,,,,NAY,Anti-CU
Terry M Wanzek,Senate,29,R,Incumbent,,400,,400,,800,NAY,Anti-CU
Kent Weston,Senate,15,R,Incumbent,,,,,,,YEA,Pro-CU
Rissa M Williams,House,31,D,,,,,,,,,
Tiffany Williams-Rice,House,7,D,,,,,,,,,
Kevin Wolsky,House,29,R,,,,,,,,,
Tyler York,House,43,D,,,,,,,,,
